Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8887914183551847,0.8522681556073001,0.9285851857263351
173_0000.nii.gz,0.9199431988806331,0.8683728112649515,0.8802806886465857,0.8567827984001587
175_0000.nii.gz,0.8483764539232109,0.8341367749716705,0.8740181949548234,0.7977361041515
174_0000.nii.gz,0.7077587531462494,0.7474416200201224,0.7775272062820201,0.7195975596703414
mean,0.8461966901455197,0.8346856561529823,0.8460235613726823,0.8256754119870838
