Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8727007946307025,0.8121451879665639,0.9430143372473523
173_0000.nii.gz,0.9199431988806331,0.8668717908085897,0.8360187380472781,0.90008935284318
175_0000.nii.gz,0.8483764539232109,0.8361202162025376,0.8214299587467079,0.8513454756268419
174_0000.nii.gz,0.7077587531462494,0.7296147486357127,0.7137673617134465,0.7461818159836301
mean,0.8461966901455197,0.8263268875693855,0.7958403116184991,0.8601577454252511
