Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8901210060608621,0.8564232915178336,0.9265791452149713
173_0000.nii.gz,0.9199431988806331,0.8676216262338479,0.8848994007985108,0.8510056318650475
175_0000.nii.gz,0.8483764539232109,0.8319286772720036,0.8796144513415737,0.7891473192400893
174_0000.nii.gz,0.7077587531462494,0.7484086667834449,0.7844025026310008,0.7155731975893128
mean,0.8461966901455197,0.8345199940875396,0.8513349115722297,0.8205763234773553
