Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8716389706622109,0.8097658900930994,0.9437495559923276
173_0000.nii.gz,0.9199431988806331,0.86656688543481,0.8332084554695443,0.9027077991514413
175_0000.nii.gz,0.8483764539232109,0.8354666698398973,0.8181851141133909,0.8534940136583679
174_0000.nii.gz,0.7077587531462494,0.7281100386214916,0.7096734089673756,0.7475301498355463
mean,0.8461966901455197,0.8254456411396025,0.7927082171608525,0.8618703796594208
