Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8957305047057083,0.897868994355517,0.8936021775002426
173_0000.nii.gz,0.9199431988806331,0.8456194903617869,0.9287559405425714,0.7761439183771933
175_0000.nii.gz,0.8483764539232109,0.7834860004557661,0.9304184114504429,0.67663177560237
174_0000.nii.gz,0.7077587531462494,0.7436817920735209,0.8534937376400791,0.6589058524173028
mean,0.8461966901455197,0.8171294468991955,0.9026342709971527,0.7513209309742772
