Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8627470951956556,0.7916824135142494,0.9478280541885702
173_0000.nii.gz,0.9199431988806331,0.8617758253730823,0.8125919338097796,0.9172972325386366
175_0000.nii.gz,0.8483764539232109,0.8285367992508949,0.7939717882382799,0.8662483188861138
174_0000.nii.gz,0.7077587531462494,0.7155564485196076,0.6795961558477605,0.7555349841857595
mean,0.8461966901455197,0.8171540420848101,0.7694605728525173,0.87172714744977
