Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8004756417195585,0.6866316375502375,0.9595736162262083
173_0000.nii.gz,0.9199431988806331,0.8128082641593591,0.7001042181832074,0.9687611976244882
175_0000.nii.gz,0.8483764539232109,0.7592266348831763,0.6590193991469658,0.8953725661288167
174_0000.nii.gz,0.7077587531462494,0.5969764390035124,0.4879581121558015,0.7687223867000683
mean,0.8461966901455197,0.7423717449414016,0.633428341759053,0.8981074416698954
