Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8874805068899574,0.8481638159792914,0.9306194335142848
173_0000.nii.gz,0.9199431988806331,0.8689642683422439,0.8759251751650828,0.8621131247715047
175_0000.nii.gz,0.8483764539232109,0.8356860727707104,0.8687119805464701,0.8050792949850242
174_0000.nii.gz,0.7077587531462494,0.7461662450469005,0.7709236836322844,0.7229494506924637
mean,0.8461966901455197,0.834574273262453,0.8409311638307821,0.8301903259908193
