Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8510221940635345,0.7696388587497612,0.9516520070044796
173_0000.nii.gz,0.9199431988806331,0.854345976033305,0.7884158623895468,0.9323089357023993
175_0000.nii.gz,0.8483764539232109,0.817159458125286,0.7651980701849794,0.8766919256353808
174_0000.nii.gz,0.7077587531462494,0.6971014128886072,0.6422041425250667,0.7622614962251201
mean,0.8461966901455197,0.8049072602776832,0.7413642334623386,0.880728591141845
