Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8880806425593697,0.8501042339717411,0.9296087275312729
173_0000.nii.gz,0.9199431988806331,0.8686399081099866,0.8780328870983832,0.8594457695152457
175_0000.nii.gz,0.8483764539232109,0.8349533598642925,0.8712239512522304,0.801582082439838
174_0000.nii.gz,0.7077587531462494,0.7468047453627843,0.7741473822988586,0.7213276832353187
mean,0.8461966901455197,0.8346196639741084,0.8433771136553033,0.8279910656804188
