Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.892232922102586,0.8639065998593959,0.9224797792203284
173_0000.nii.gz,0.9199431988806331,0.8656760943855455,0.893094643270286,0.8398909318104242
175_0000.nii.gz,0.8483764539232109,0.8273364916579036,0.8893463955810033,0.773410264032646
174_0000.nii.gz,0.7077587531462494,0.7496384575094042,0.7965542564387237,0.7079417939250043
mean,0.8461966901455197,0.8337209914138598,0.8607254737873522,0.8109306922471008
