Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8915464507248708,0.8613606901792499,0.9239247223947606
173_0000.nii.gz,0.9199431988806331,0.8663054659324225,0.8902079481753328,0.8436530047774704
175_0000.nii.gz,0.8483764539232109,0.8292260860292193,0.8860316301136084,0.7792655623301759
174_0000.nii.gz,0.7077587531462494,0.7492891435820602,0.7923562201482612,0.7106623862917363
mean,0.8461966901455197,0.8340917865671431,0.8574891221541131,0.8143764189485359
