Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8845398452743641,0.8400506337344208,0.9340048886941043
173_0000.nii.gz,0.9199431988806331,0.8694296459790861,0.8670379748984881,0.8718345481127344
175_0000.nii.gz,0.8483764539232109,0.83766258389898,0.8580840137666353,0.8181905728445179
174_0000.nii.gz,0.7077587531462494,0.7433044701132414,0.7579652823555263,0.7292000445037828
mean,0.8461966901455197,0.8337341363164179,0.8307844761887677,0.8383075135387849
