Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.8737798258731412,0.8144533710444934,0.9424282321961771
173_0000.nii.gz,0.9199431988806331,0.8673183851579438,0.8384809191576793,0.8982100873582872
175_0000.nii.gz,0.8483764539232109,0.8366738154561033,0.8243951200437135,0.8493238033493679
174_0000.nii.gz,0.7077587531462494,0.7309085498879725,0.7172772901270976,0.7450679480441474
mean,0.8461966901455197,0.8271701440937902,0.798651675093246,0.8587575177369949
