Label,Mean AP,F-med max,Precision max,Recall max
176_0000.nii.gz,0.908708354631985,0.896270520108378,0.8912370317090714,0.9013611872577748
173_0000.nii.gz,0.9199431988806331,0.851539352963899,0.9217769306365375,0.7912478340958409
175_0000.nii.gz,0.8483764539232109,0.7957510974097778,0.9224733329707808,0.6996399804375623
174_0000.nii.gz,0.7077587531462494,0.7468745109408151,0.8416773641420625,0.6712660428608981
mean,0.8461966901455197,0.8226088703557175,0.8942911648646131,0.765878761163019
