Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8234526458368445,0.9061849144443991,0.7545630495708282
151_0000.nii.gz,0.8890324087886118,0.7734128476171892,0.9644491397166615,0.6455445780547975
196_0000.nii.gz,0.8348364952690656,0.8053348075461267,0.9315658043248186,0.7092310800711787
193_0000.nii.gz,0.8763049695663105,0.8388203622456245,0.8464022771437173,0.8313730761475906
mean,0.8670569861818335,0.8102551658114463,0.9121505339073991,0.7351779459610988
