Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8111335371822918,0.9136004138250228,0.7293335216961345
151_0000.nii.gz,0.8890324087886118,0.7458288635793029,0.9696957107501291,0.6059397935758551
196_0000.nii.gz,0.8348364952690656,0.7850198680091695,0.9405665173475554,0.6736196824771636
193_0000.nii.gz,0.8763049695663105,0.8359451300719168,0.8589694464971581,0.8141229063805134
mean,0.8670569861818335,0.7944818497106703,0.9207080221049663,0.7057539760324167
