Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8213959548388389,0.9075359714678537,0.7501905900555594
151_0000.nii.gz,0.8890324087886118,0.7686308328411104,0.9654017128511315,0.6384916725218737
196_0000.nii.gz,0.8348364952690656,0.8020949831967179,0.9333115909359783,0.703226599145709
193_0000.nii.gz,0.8763049695663105,0.8384220048712454,0.8487195628176004,0.8283713330394867
mean,0.8670569861818335,0.807635943936978,0.913742209518141,0.7300700486906572
