Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8359677834110599,0.8961353643429847,0.7833713133140161
151_0000.nii.gz,0.8890324087886118,0.8023003261656504,0.9569620929307797,0.6906751709130785
196_0000.nii.gz,0.8348364952690656,0.8242799598190423,0.9196042883681371,0.7468617725726454
193_0000.nii.gz,0.8763049695663105,0.8400133870353487,0.8300717993632026,0.8501959978134213
mean,0.8670569861818335,0.8256403641077753,0.900693386251276,0.7677760636532904
