Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8166572796610299,0.9104184533289773,0.7404052397202456
151_0000.nii.gz,0.8890324087886118,0.758140816447536,0.9675709681822768,0.6232407356081039
196_0000.nii.gz,0.8348364952690656,0.7947255918925371,0.9367584003990369,0.6900926407925699
193_0000.nii.gz,0.8763049695663105,0.8375058179084172,0.8536506372535603,0.8219603468116693
mean,0.8670569861818335,0.8017573764773801,0.9170996147909628,0.7189247407331473
