Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8537862119083703,0.8656191720777011,0.8422724006503548
151_0000.nii.gz,0.8890324087886118,0.8559288984883565,0.9313791241075191,0.7917869180003633
196_0000.nii.gz,0.8348364952690656,0.8430723976007906,0.8797453581580352,0.8093345726875356
193_0000.nii.gz,0.8763049695663105,0.8317687002033213,0.7800312012480499,0.8908569940088564
mean,0.8670569861818335,0.8461390520502097,0.8641937138978263,0.8335627213367774
