Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.7913731212607618,0.922816188181484,0.6927062045287338
151_0000.nii.gz,0.8890324087886118,0.7014299773843709,0.976066970936133,0.5474058232714504
196_0000.nii.gz,0.8348364952690656,0.746379883363642,0.9514313212023545,0.6140421835050568
193_0000.nii.gz,0.8763049695663105,0.8299241449270973,0.8751357071826733,0.7891545697984838
mean,0.8670569861818335,0.7672767817339681,0.9313625468756612,0.6608271952759313
