Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8550976873328141,0.8594220062346006,0.8508166675650908
151_0000.nii.gz,0.8890324087886118,0.8625240560090252,0.9256785228884629,0.8074366474257759
196_0000.nii.gz,0.8348364952690656,0.843144476183697,0.8710899655638795,0.8169362939862362
193_0000.nii.gz,0.8763049695663105,0.8282321277724299,0.769256735181688,0.8970010957330241
mean,0.8670569861818335,0.8472495868244916,0.8563618074671577,0.8430476761775317
