Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8372939427035736,0.8948727896434843,0.7866767586714454
151_0000.nii.gz,0.8890324087886118,0.8056529856111959,0.9559798446207809,0.6961794712763406
196_0000.nii.gz,0.8348364952690656,0.8261111598582848,0.9181526636035465,0.7508419533317297
193_0000.nii.gz,0.8763049695663105,0.8399702881631652,0.8279141691983469,0.8523827191223365
mean,0.8670569861818335,0.8272570940840549,0.8992298667665397,0.771520225600463
