Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8485698196904053,0.8795143001048176,0.819728808183332
151_0000.nii.gz,0.8890324087886118,0.8370233621354851,0.9431720388626099,0.7523505629041879
196_0000.nii.gz,0.8348364952690656,0.8391244661606738,0.8980665253410839,0.7874428775687572
193_0000.nii.gz,0.8763049695663105,0.8368904687804855,0.8022233170028555,0.8746891475181537
mean,0.8670569861818335,0.8404020291917624,0.8807440453278418,0.8085528490436077
