Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8255550915021822,0.9047760035937437,0.7590902212489186
151_0000.nii.gz,0.8890324087886118,0.7781420922194898,0.9634283136784754,0.6526287435020163
196_0000.nii.gz,0.8348364952690656,0.8084592396969907,0.9298807685297983,0.7150851862688931
193_0000.nii.gz,0.8763049695663105,0.8391103532874256,0.8440576219540009,0.8342207414554095
mean,0.8670569861818335,0.812816694176522,0.9105356769390046,0.7402562231188092
