Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.850614841152949,0.8756040620193027,0.8270123975841265
151_0000.nii.gz,0.8890324087886118,0.8430409362951449,0.9398869969315868,0.7642885582944221
196_0000.nii.gz,0.8348364952690656,0.8409185690605488,0.8929474697285078,0.7946189259476347
193_0000.nii.gz,0.8763049695663105,0.8358565049920472,0.7958599045716215,0.8800859555492782
mean,0.8670569861818335,0.8426077128751726,0.8760746083127546,0.8165014593438654
