Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8313394197962941,0.9005356583765536,0.7720183218578597
151_0000.nii.gz,0.8890324087886118,0.7911919417197942,0.9600957914666065,0.6728257704945306
196_0000.nii.gz,0.8348364952690656,0.8168073349930172,0.9247489232717192,0.7314308547497054
193_0000.nii.gz,0.8763049695663105,0.8396855727313295,0.8368913703916577,0.8424984960714171
mean,0.8670569861818335,0.8197560673101087,0.9055679358766343,0.7546933607933782
