Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8563001191907449,0.8447237309592845,0.8681982098573272
151_0000.nii.gz,0.8890324087886118,0.8735992356753098,0.9117104177671211,0.8385464430761168
196_0000.nii.gz,0.8348364952690656,0.8415178747856054,0.8510549858834288,0.8321921448715304
193_0000.nii.gz,0.8763049695663105,0.8194445141632323,0.7446515404475829,0.9109394879578581
mean,0.8670569861818335,0.8477154359537231,0.8380351687643544,0.8624690714407082
