Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8420672697331318,0.8892337430745566,0.7996523463560634
151_0000.nii.gz,0.8890324087886118,0.8185228919200107,0.9513772248962853,0.7182266848577311
196_0000.nii.gz,0.8348364952690656,0.832207865037269,0.9110320284697508,0.7659375428428571
193_0000.nii.gz,0.8763049695663105,0.8395369445918804,0.8189278448330916,0.8612101180567882
mean,0.8670569861818335,0.833083742820573,0.892642710318421,0.7862566730283599
