Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.6974504185572241,0.949711411497257,0.5510747326744404
151_0000.nii.gz,0.8890324087886118,0.4976720964544926,0.9909520389813106,0.33227230302945876
196_0000.nii.gz,0.8348364952690656,0.5534827804393022,0.9789162693883032,0.38581079633594484
193_0000.nii.gz,0.8763049695663105,0.776804377228575,0.9222067128299167,0.6710079989379003
mean,0.8670569861818335,0.6313524181698985,0.9604466081741969,0.4850414577444361
