Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8190644713155852,0.9089278664869795,0.7453714815166247
151_0000.nii.gz,0.8890324087886118,0.7635878102419101,0.9664818892403748,0.6311005266809027
196_0000.nii.gz,0.8348364952690656,0.7985940994781127,0.9349934293196228,0.6969248478868607
193_0000.nii.gz,0.8763049695663105,0.8379938199522124,0.8511052722810667,0.8252802080660999
mean,0.8670569861818335,0.8048100502469552,0.915377114332011,0.7246692660376219
