Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.827370202368839,0.9034793972311839,0.7630876244951926
151_0000.nii.gz,0.8890324087886118,0.7823163958331072,0.9624015526051837,0.6590033020066041
196_0000.nii.gz,0.8348364952690656,0.8112505902173397,0.9284067618855775,0.7203493059776473
193_0000.nii.gz,0.8763049695663105,0.8392753600120061,0.8418270064135899,0.8367391353630613
mean,0.8670569861818335,0.815053137107823,0.9090286795338838,0.7447948419606264
