Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8476822492936581,0.8811546262642763,0.8166598328339378
151_0000.nii.gz,0.8890324087886118,0.8340245592615978,0.9446736027443602,0.7465782981078621
196_0000.nii.gz,0.8348364952690656,0.8383458870463545,0.9003654641202482,0.7843198422402772
193_0000.nii.gz,0.8763049695663105,0.8374383768985134,0.8051016777513206,0.8724813635734483
mean,0.8670569861818335,0.8393727681250309,0.8828238427200513,0.8050098341888814
