Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8559687974057193,0.8506758688283579,0.8613280038592743
151_0000.nii.gz,0.8890324087886118,0.8698262558853691,0.9174614667845761,0.826893399413198
196_0000.nii.gz,0.8348364952690656,0.8425639980561521,0.8592723331191068,0.8264930479737481
193_0000.nii.gz,0.8763049695663105,0.8233239198318011,0.7547098375163077,0.9056617200286836
mean,0.8670569861818335,0.8479207427947604,0.8455298765620871,0.855094042818726
