Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.8446179724795494,0.8860075414165339,0.8069228218185425
151_0000.nii.gz,0.8890324087886118,0.8250659480778265,0.9485729208088266,0.7300157581017197
196_0000.nii.gz,0.8348364952690656,0.8349963118537462,0.9066771541759792,0.7738190749079001
193_0000.nii.gz,0.8763049695663105,0.8388090880433606,0.8132532318836613,0.8660231997823806
mean,0.8670569861818335,0.8358723301136206,0.8886277120712502,0.7941952136526357
