Label,Mean AP,F-med max,Precision max,Recall max
191_0000.nii.gz,0.868054071103346,0.7962157677325205,0.9209682688773635,0.7012287393372788
151_0000.nii.gz,0.8890324087886118,0.7121234787925304,0.9746870752740503,0.56099993851157
196_0000.nii.gz,0.8348364952690656,0.7562736799728899,0.9490460523160449,0.6285925458446017
193_0000.nii.gz,0.8763049695663105,0.8317667946006632,0.8719243506582368,0.7951453887432921
mean,0.8670569861818335,0.7740949302746509,0.9291564367814238,0.6714916531091857
